x,y,name,region,dp
64603.39130000025,403356.60539999977,Oosterschelde,Os,803.5
64559.83549999818,403381.14979999885,Oosterschelde,Os,804.0
64515.840500000864,403404.8979000002,Oosterschelde,Os,804.5
64472.21539999917,403429.29989999905,Oosterschelde,Os,805.0
64426.99439999834,403450.51150000095,Oosterschelde,Os,805.5
64379.52089999989,403466.1933000013,Oosterschelde,Os,806.0
64331.485199999064,403479.97839999944,Oosterschelde,Os,806.5
64282.49980000034,403489.9642000012,Oosterschelde,Os,807.0
64233.33460000157,403499.0502999984,Oosterschelde,Os,807.5
64183.84160000086,403505.9800999984,Oosterschelde,Os,808.0
64134.07589999959,403503.0139000006,Oosterschelde,Os,808.5
64084.92650000006,403493.9327000007,Oosterschelde,Os,809.0
64035.88560000062,403484.2056999989,Oosterschelde,Os,809.5
63987.4012000002,403472.01359999925,Oosterschelde,Os,810.0
63939.43470000103,403457.9136000015,Oosterschelde,Os,810.5
63891.596799999475,403443.3696000017,Oosterschelde,Os,811.0
