Gebied,dp,yMV.bui,ysloot.1d,xMV.bin,xSloot.1a,xSloot.1c,xSloot.1d,xSloot.1b,xWeg.1,xTeen.1,xBerm.1a,xBerm.1b,xKruin.1,xKruin.2,xBerm.2a,xBerm.2b,xTeen.2,xWeg.2,xSloot.2,xMVB.bui,yMV.bin,ySloot.1a,ySloot.1c,ySloot.1b,yWeg.1,yTeen.1,yBerm.1a,yBerm.1b,yKruin.1,yKruin.2,yBerm.2a,yBerm.2b,yTeen.2,yWeg.2,ySloot.2
Os,850.0,-1.585,-0.57,-186.49,-28.08,-25.69,-25.32,-22.49,-22.49,-15.413,-2.799,-2.799,-2.799,-0.29,8.603,14.962,31.506,79.51,192.51,197.51,0.764,1.077,-0.57,1.381,1.381,1.65,6.8,6.8,6.8,6.85,3.88,3.49,-0.65,-1.328,-1.44
Os,851.0,-1.662,-0.26,-195.18,-28.18,-26.54,-25.49,-23.18,-23.18,-15.365,-3.297,-3.297,-3.297,-0.064,8.534,15.506,30.813,71.82,189.82,220.82,0.668,0.831,-0.26,1.279,1.279,1.52,6.67,6.67,6.67,6.65,3.83,3.51,-0.67,-1.039,-1.516
Os,852.0,-1.517,-0.16,-202.73,-28.73,-27.64,-27.36,-25.73,-25.73,-18.716,-3.327,-3.327,-3.327,0.099,4.156,11.734,37.198,67.27,202.27,272.27,0.842,0.992,-0.16,1.56,1.56,1.58,6.59,6.59,6.59,6.63,5.43,4.99,-0.65,-0.915,-1.423
Os,853.0,-1.546,-1.04,-208.31,-28.14,-25.74,-25.43,-23.31,-21.31,-14.839,-2.956,-2.956,-2.956,0.378,7.578,13.874,30.161,65.69,227.69,291.69,0.818,0.956,-1.04,0.724,1.768,1.94,6.64,6.64,6.64,6.68,4.71,4.51,-0.62,-0.886,-1.568
Os,854.0,-1.521,-1.04,-200.42,-27.42,-25.04,-25.02,-21.42,-21.42,-15.332,-2.561,-2.561,-2.561,0.622,7.709,12.536,28.88,57.58,96.58,208.58,0.546,0.546,-1.04,1.361,1.361,1.51,6.69,6.69,6.69,6.64,4.75,4.55,-0.64,-1.132,-1.355
Os,855.0,-1.736,-1.04,-196.67,-30.67,-28.1,-27.81,-24.67,-24.67,-15.877,-2.785,-2.785,-2.785,-0.199,9.632,15.31,30.788,65.33,203.33,304.33,0.645,0.734,-1.04,1.124,1.124,1.53,6.87,6.87,6.87,6.87,3.91,3.57,-0.27,-0.328,-1.196
Os,856.0,-1.765,-1.04,-195.42,-30.42,-28.19,-27.67,-24.42,-24.42,-16.517,-2.761,-2.761,-2.761,-0.178,10.095,15.573,30.83,50.58,144.58,245.58,0.447,0.447,-1.04,1.125,1.125,1.49,6.82,6.82,6.82,6.86,3.76,3.57,-0.29,-0.719,-1.154
Os,857.0,-1.676,-1.04,-200.89,-28.89,-26.87,-26.47,-22.89,-22.89,-15.853,-2.816,-2.816,-2.816,0.1,10.102,15.958,31.207,60.11,236.11,240.11,0.306,0.306,-1.04,1.345,1.345,1.53,6.84,6.84,6.84,6.96,3.81,3.56,-0.33,-0.906,-1.222
Os,858.0,-1.676,-1.04,-200.78,-29.78,-27.81,-26.88,-23.78,-23.78,-16.628,-2.834,-2.834,-2.834,-0.029,8.432,13.754,35.428,82.22,254.22,256.22,0.272,0.272,-1.04,1.024,1.024,1.22,6.8,6.8,6.8,6.88,4.49,4.2,-0.33,-0.537,-1.398
Os,859.0,-1.676,-1.04,-200.34,-29.34,-27.47,-27.14,-24.34,-24.34,-16.746,-2.715,-2.715,-2.715,0.001,9.996,15.763,31.026,44.66,76.66,253.66,0.184,0.342,-1.04,1.037,1.037,1.26,6.97,6.97,6.97,6.97,3.84,3.58,-0.32,-0.604,-0.934
